Class Times	4
Rooms	20
1	725
2	504
3	574
4	195
5	30
6	427
7	593
8	894
9	667
10	49
11	409
12	968
13	418
14	231
15	37
16	972
17	889
18	625
19	321
20	775
Classes	60
Teachers	30
1	14
2	1
3	23
4	2
5	11
6	28
7	29
8	17
9	13
10	24
11	9
12	1
13	8
14	16
15	25
16	16
17	23
18	6
19	20
20	25
21	2
22	7
23	7
24	6
25	4
26	12
27	5
28	18
29	8
30	22
31	17
32	13
33	26
34	21
35	3
36	9
37	27
38	28
39	4
40	27
41	15
42	29
43	11
44	12
45	19
46	30
47	21
48	5
49	3
50	22
51	30
52	18
53	26
54	15
55	24
56	10
57	20
58	14
59	19
60	10
