Class Times	20
Rooms	40
1	297
2	429
3	277
4	297
5	560
6	63
7	329
8	517
9	595
10	269
11	40
12	489
13	587
14	410
15	946
16	424
17	655
18	765
19	359
20	835
21	708
22	663
23	90
24	299
25	985
26	777
27	624
28	768
29	929
30	62
31	678
32	610
33	137
34	328
35	779
36	416
37	412
38	88
39	880
40	750
Classes	60
Teachers	30
1	1
2	8
3	9
4	20
5	19
6	1
7	30
8	20
9	19
10	10
11	30
12	21
13	29
14	14
15	14
16	5
17	13
18	25
19	21
20	29
21	4
22	25
23	18
24	27
25	15
26	17
27	12
28	11
29	24
30	8
31	11
32	7
33	4
34	23
35	23
36	9
37	27
38	16
39	15
40	26
41	2
42	6
43	2
44	22
45	13
46	28
47	16
48	22
49	26
50	6
51	17
52	5
53	12
54	28
55	24
56	7
57	18
58	3
59	10
60	3
